Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      1.79     0.00   358410     0.00     0.00  std::allocator_traits<std::allocator<int> >::allocate(std::allocator<int>&, unsigned long)
  0.00      1.79     0.00   342453     0.00     0.00  std::_Vector_base<colVal, std::allocator<colVal> >::_M_deallocate(colVal*, unsigned long)
  0.00      1.79     0.00   283052     0.00     0.00  std::vector<int, std::allocator<int> >::end()
  0.00      1.79     0.00   279697     0.00     0.00  std::vector<int, std::allocator<int> >::begin()
  0.00      1.79     0.00   269607     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::difference_type __gnu_cxx::operator-<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&)
  0.00      1.79     0.00   269102     0.00     0.00  __gnu_cxx::new_allocator<colVal>::deallocate(colVal*, unsigned long)
  0.00      1.79     0.00   269102     0.00     0.00  __gnu_cxx::new_allocator<colVal>::allocate(unsigned long, void const*)
  0.00      1.79     0.00   269102     0.00     0.00  __gnu_cxx::__normal_iterator<colVal*, std::vector<colVal, std::allocator<colVal> > >::difference_type __gnu_cxx::operator-<colVal*, std::vector<colVal, std::allocator<colVal> > >(__gnu_cxx::__normal_iterator<colVal*, std::vector<colVal, std::allocator<colVal> > > const&, __gnu_cxx::__normal_iterator<colVal*, std::vector<colVal, std::allocator<colVal> > > const&)
  0.00      1.79     0.00   269102     0.00     0.00  std::_Vector_base<colVal, std::allocator<colVal> >::_M_allocate(unsigned long)
  0.00      1.79     0.00   269102     0.00     0.00  std::allocator_traits<std::allocator<colVal> >::deallocate(std::allocator<colVal>&, colVal*, unsigned long)
  0.00      1.79     0.00   269102     0.00     0.00  std::allocator_traits<std::allocator<colVal> >::allocate(std::allocator<colVal>&, unsigned long)
  0.00      1.79     0.00   269102     0.00     0.00  std::vector<colVal, std::allocator<colVal> >::end()
  0.00      1.79     0.00   269102     0.00     0.00  std::vector<colVal, std::allocator<colVal> >::begin()
  0.00      1.79     0.00   246184     0.00     0.00  __gnu_cxx::new_allocator<int>::~new_allocator()
  0.00      1.79     0.00   246184     0.00     0.00  std::allocator<int>::~allocator()
  0.00      1.79     0.00   219926     0.00     0.00  z3::operator<(z3::expr const&, z3::expr const&)
  0.00      1.79     0.00   212096     0.00     0.00  z3::operator>(z3::expr const&, z3::expr const&)
  0.00      1.79     0.00   212096     0.00     0.00  z3::operator<=(z3::expr const&, z3::expr const&)
  0.00      1.79     0.00   198491     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::base() const
  0.00      1.79     0.00   188493     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::__normal_iterator(int const* const&)
  0.00      1.79     0.00   187900     0.00     0.00  int const* std::__niter_base<int const*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
  0.00      1.79     0.00   186788     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > std::__miter_base<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
  0.00      1.79     0.00   172202     0.00     0.00  void std::_Destroy_aux<true>::__destroy<int*>(int*, int*)
  0.00      1.79     0.00   172202     0.00     0.00  void std::_Destroy<int*>(int*, int*)
  0.00      1.79     0.00   172202     0.00     0.00  void std::_Destroy<int*, int>(int*, int*, std::allocator<int>&)
  0.00      1.79     0.00   167780     0.00     0.00  __gnu_cxx::new_allocator<int>::new_allocator(__gnu_cxx::new_allocator<int> const&)
  0.00      1.79     0.00   167780     0.00     0.00  std::allocator<int>::allocator(std::allocator<int> const&)
  0.00      1.79     0.00   162294     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::~_Vector_impl()
  0.00      1.79     0.00   162294     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl_data::_Vector_impl_data()
  0.00      1.79     0.00   162294     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::~_Vector_base()
  0.00      1.79     0.00   162293     0.00     0.00  std::vector<int, std::allocator<int> >::~vector()
  0.00      1.79     0.00    93950     0.00     0.00  std::vector<int, std::allocator<int> >::end() const
